Chromosome,Start,End,Number of healthy samples with peak (out of 26 total),Overlaps validated VISTA heart enhancer
chr3,57006004,57010080,16,.
chr3,57036254,57038343,3,.
chr3,57041051,57042394,2,.
chr3,57065290,57070551,15,.
chr3,57091077,57092368,2,.
chr3,57092797,57095231,2,.
chr3,57125859,57132120,5,.
chr3,57149525,57155028,8,.
chr3,57158495,57162902,3,.
chr3,57545400,57549019,4,.
chr3,57574648,57580032,8,.
chr3,57644332,57648420,7,.
chr3,57671648,57674570,3,.
chr3,57736743,57739636,17,.
chr3,57782361,57785728,4,.
chr3,57796076,57806053,8,.
chr3,57807990,57812384,4,.
chr3,57874791,57879356,13,.
chr3,57902262,57904980,2,.
chr3,57929678,57962935,26,.
chr3,57967166,57979758,19,.
chr3,57981485,57986021,17,.
chr3,57996571,58001564,15,.
chr3,58013253,58026606,15,.
chr3,58038497,58064442,25,.
chr3,58080359,58086712,9,.
chr3,58091169,58100583,18,.
chr3,58114447,58123525,24,.
chr3,58133356,58140044,22,.
chr3,58151411,58152503,2,.
chr3,58171790,58178253,15,.
chr3,58186181,58191865,7,.
chr3,58195787,58202660,23,.
chr3,58215941,58219463,9,.
chr3,58271840,58273332,2,.
chr3,58321186,58326925,5,.
chr3,58382815,58393025,19,.
chr3,58398240,58400167,3,.
chr3,58415933,58431727,20,.
chr3,58469303,58472380,10,.
chr3,58482017,58488777,22,.
chr3,58562690,58567204,4,.
chr3,58568816,58569982,2,.
chr3,58605181,58622967,16,.
chr3,58895852,58903172,16,.
chr3,59313169,59314786,3,.
chr3,59333129,59337063,10,.
chr3,59533881,59538101,9,.
chr3,59605037,59612741,22,.
chr3,59652829,59655613,5,.
chr3,59664266,59665690,2,.
chr3,59698789,59702598,12,.
chr3,59765435,59767155,2,.
chr3,59817367,59819914,14,.
chr3,59829156,59832181,2,.
chr3,59898616,59900393,8,.
chr3,61007865,61009744,2,.
chr3,61153650,61158304,17,.
chr3,61239349,61240738,3,.
chr3,61357214,61359115,3,.
chr3,61446084,61450761,10,.
chr3,61494036,61495768,6,.
chr3,61536978,61538609,4,.
chr3,61576019,61579592,3,.
chr3,61590362,61598916,10,.
chr3,61599748,61605056,10,.
chr3,61612060,61619473,4,.
chr3,61626088,61642402,24,.
chr3,61648793,61651483,4,.
chr3,61679690,61691348,18,.
chr3,61714750,61737481,17,.
chr3,61776705,61781514,3,.
chr3,61800110,61835035,25,.
chr3,61841235,61859615,26,.
chr3,61861246,61866430,3,.
chr3,61870775,61873071,2,.
chr3,61893858,61898515,13,.
chr3,61901834,61909976,16,.
chr3,61915508,61918060,2,.
chr3,61919992,61934445,26,.
chr3,61945943,61949544,2,.
chr3,61951051,61957398,6,.
chr3,61972200,61982684,12,.
chr3,62046750,62051708,5,.
chr3,62086817,62107032,24,.
chr3,62116104,62125677,11,.
chr3,62127800,62137565,21,.
chr3,62138835,62172436,26,.
chr3,62176181,62190581,16,.
chr3,62255217,62256326,2,.
chr3,62260843,62262104,2,.
chr3,62654581,62657218,5,.
chr3,63131274,63136288,19,.
chr3,63324782,63330250,10,.
chr3,63931187,63935098,6,.
chr3,63942393,63948288,3,.
chr3,63958894,63961601,4,.
chr3,63963488,63966301,8,.
chr3,63974375,63981058,8,.
chr3,63997418,64001485,15,.
chr3,64061847,64065209,7,.
chr3,64088445,64089571,2,.
chr3,64147993,64156220,23,.
chr3,64157485,64168852,24,.
chr3,64183006,64193335,21,.
chr3,64205192,64218244,23,.
chr3,64237460,64242428,13,.
chr3,64259115,64262372,5,.
chr3,64290120,64293350,14,.
chr3,64311207,64312532,2,.
chr3,64324779,64329199,26,.
chr3,64350719,64358561,13,.
chr3,64529149,64535260,6,.
chr3,64591684,64599630,17,.
chr3,64609115,64613937,3,.
chr3,64634119,64635966,2,.
chr3,64648643,64652898,3,.
chr3,64662106,64679539,14,.
chr3,64713333,64717847,8,.
chr3,64723123,64733580,22,.
chr3,64758790,64762686,3,.
chr3,64765120,64768223,5,.
chr3,64811275,64818063,19,.
chr3,64824257,64825021,2,.
chr3,64863288,64869543,5,.
chr3,64880546,64929782,26,yes
chr3,64939450,64948214,19,.
chr3,64954363,64959758,2,.
chr3,64982798,64986680,12,.
chr3,64990839,64997672,16,.
chr3,65019450,65022037,3,.
chr3,65166411,65173406,22,.
chr3,65177348,65183175,20,.
chr3,65277784,65281135,8,.
chr3,65327996,65331093,6,.
chr3,65407475,65417062,16,.
chr3,65480289,65489110,16,.
chr3,65506836,65509408,13,.
chr3,65534298,65536536,2,.
chr3,65556321,65560836,2,.
chr3,65562098,65585311,21,.
chr3,65641966,65645198,2,.
chr3,65684746,65688283,4,.
chr3,65710953,65718666,12,.
chr3,65727668,65731568,11,.
chr3,65750432,65755411,5,.
chr3,65885444,65896447,20,.
chr3,65923855,65926164,2,.
chr3,65934119,65974210,24,.
chr3,65976682,65993174,17,.
chr3,65999215,66006889,7,.
chr3,66008593,66015627,9,.
chr3,66017559,66024071,2,.
chr3,66027677,66034467,7,.
chr3,66044413,66049860,14,.
chr3,66052843,66055675,2,.
chr3,66114407,66118013,26,.
chr3,66138615,66142838,5,.
chr3,66149894,66158030,24,.
chr3,66170625,66197128,24,.
chr3,66347901,66351575,9,.
chr3,66353256,66354322,2,.
chr3,66358490,66388612,19,.
chr3,66389696,66398858,10,.
chr3,66421004,66466827,23,.
chr3,66475195,66493320,6,.
chr3,66504767,66509568,19,.
chr3,66615696,66616311,2,.
chr3,66664743,66666701,3,.
chr3,66971639,66972436,5,.
chr3,67003047,67019688,18,.
chr3,67030640,67031125,2,.
chr3,67645456,67651087,7,.
chr3,67940378,67942023,2,.
chr3,69003424,69007096,2,.
chr3,69098658,69119669,8,.
chr3,69172771,69176921,4,.
chr3,69177453,69184070,5,.
chr3,69235695,69239808,3,.
chr3,69240683,69247140,7,.
chr3,69287587,69291671,6,.
chr3,69303749,69308874,18,.
chr3,69324702,69336670,10,.
chr3,69338563,69343295,6,.
chr3,69355619,69361838,5,.
chr3,69363704,69373742,23,.
chr3,69407569,69412022,10,.
chr3,69419713,69422436,5,.
chr3,69483971,69489155,9,.
chr3,69489714,69495532,6,.
chr3,69496789,69501647,12,.
chr3,69503734,69513095,17,.
chr3,69552205,69554208,2,.
chr3,69558179,69559743,2,.
chr3,69663477,69666106,5,.
chr3,69718101,69722753,6,.
chr3,69723118,69728669,19,.
chr3,69743496,69756279,7,.
chr3,69766888,69795339,21,.
chr3,69810231,69825839,17,.
chr3,69853101,69859785,12,.
chr3,69869522,69890142,14,.
chr3,69899802,69903873,2,.
chr3,69911387,69918920,3,.
chr3,69922750,69934194,8,.
chr3,70831183,70834840,25,.
chr3,70849163,70855226,7,.
chr3,70860065,70864262,9,.
chr3,70888110,70891626,19,.
chr3,70979184,70992807,6,yes
chr3,71001725,71013369,10,.
chr3,71015202,71040340,12,.
chr3,71106831,71114706,6,.
chr3,71171665,71174667,4,.
chr3,71200337,71204094,3,.
chr3,71223889,71228820,25,.
chr3,71237929,71240709,5,.
chr3,71251144,71259762,15,.
chr3,71308101,71312500,6,.
chr3,71379829,71380755,2,.
chr3,71388587,71393437,12,.
chr3,71421585,71425475,6,.
chr3,71426646,71435182,18,.
chr3,71439193,71447338,21,.
chr3,71464101,71471674,16,.
chr3,71494570,71501192,7,.
chr3,71514185,71517089,2,.
chr3,71520976,71525151,3,.
chr3,71531067,71533706,2,.
chr3,71628789,71630465,2,.
chr3,71657378,71659673,13,.
chr3,71680140,71683697,3,.
chr3,71689807,71691485,3,.
chr3,71890136,71892004,9,.
chr3,72120853,72125236,7,.
chr3,72154261,72156053,2,.
chr3,72171028,72174410,2,.
chr3,72268384,72275956,14,.
chr3,72297670,72300407,9,.
chr3,72303315,72304638,2,.
chr3,72309214,72312811,13,.
chr3,72316981,72322288,18,.
chr3,72335396,72340363,8,.
chr3,72345303,72349069,4,.
chr3,72464903,72466614,8,.
chr3,72481751,72487449,21,.
chr3,72660202,72661648,2,.
chr3,72702034,72703082,3,.
chr3,72796837,72800229,7,.
chr3,72818646,72823404,21,.
chr3,72836605,72837721,3,.
chr3,72878697,72879928,3,.
chr3,72934744,72943538,21,.
chr3,72956244,72968365,12,.
chr3,73022042,73046984,8,.
chr3,73140379,73150119,9,.
chr3,73340912,73355288,17,.
chr3,73365342,73366512,2,.
chr3,73417347,73431397,14,.
chr3,73436511,73468804,16,.
chr3,73470307,73473255,2,.
chr3,73478140,73549215,22,.
chr3,73578684,73612035,7,.
chr3,73663072,73666892,6,.
chr3,73764091,73769798,20,.
chr3,73784479,73787587,2,.
chr3,73794410,73799021,11,.
chr3,73801826,73807424,22,.
chr3,73826181,73830623,26,.
chr3,73931553,73934483,3,.
chr3,74301017,74303099,2,.
chr3,74640508,74647676,26,.
chr3,74650916,74653455,7,.
chr3,74737037,74742079,2,.
chr3,75341223,75341914,3,.
chr3,75641101,75641988,4,.
chr3,76581927,76584006,9,.
chr3,77328511,77329986,2,.
chr3,77530468,77531595,2,.
chr3,77929134,77932651,4,.
chr3,78049237,78051643,2,.
chr3,78088451,78095406,17,.
chr3,78095836,78103686,13,.
chr3,78697362,78698103,2,.
chr3,78757261,78758065,2,.
chr3,78854927,78858567,4,.
chr3,78877897,78882592,13,.
chr3,78917227,78920051,5,.
chr3,79245117,79249446,7,.
chr3,79973362,79975119,5,.
chr3,81489828,81493656,3,.
chr3,81508630,81517487,7,.
chr3,81552827,81563289,15,.
chr3,81579025,81581856,2,.
chr3,81643247,81646755,3,.
chr3,81682823,81686295,7,.
chr3,81705482,81711336,4,.
chr3,81712811,81719758,19,.
chr3,81721268,81733276,16,.
chr3,81775413,81782474,14,.
chr3,81786241,81792144,24,.
chr3,81821035,81826801,9,.
chr3,81863953,81865884,4,.
chr3,82084425,82086913,6,.
chr3,82087651,82088567,2,.
chr3,82238925,82241211,2,.
chr3,83951997,83958830,22,.
chr3,84725309,84729150,12,.
chr3,85081338,85082017,2,.
chr3,85560663,85561284,2,.
chr3,85783007,85784327,2,.
chr3,86792506,86795986,24,.
chr3,86936009,86939834,4,.
chr3,86971757,86975013,2,.
chr3,86975132,86980126,5,.
chr3,88029486,88034304,21,.
chr3,88808764,88812079,12,.
chr3,89110997,89120125,11,.
chr3,89150903,89159604,18,.
chr3,89178786,89181393,4,.
chr3,89418913,89421881,6,.
chr3,89739207,89741803,3,.
chr3,90007474,90008848,7,.
chr3,90014381,90017954,5,.
chr3,90260998,90263121,5,.
chr3,93968481,93970983,6,.
chr3,94004477,94004864,2,.
chr3,94440342,94441967,2,.
chr3,94928337,94929616,3,.
chr3,95133485,95136886,16,.
chr3,95458958,95462517,11,.
chr3,95921867,95924611,13,.
chr3,95969866,95973098,14,.
chr3,96265238,96269376,6,.
chr3,97861797,97865319,9,.
chr3,97871227,97872980,2,.
chr3,97877065,97890249,17,.
chr3,97895173,97904875,26,.
chr3,97910344,97913439,7,.
chr3,97928238,97936029,4,.
chr3,97952313,97953175,2,.
chr3,98012538,98014454,2,.
chr3,98689899,98694705,17,.
chr3,98773836,98781699,15,.
chr3,98807834,98810889,3,.
chr3,98883128,98892738,2,.
chr3,98917566,98925426,7,.
chr3,98977220,98979744,2,.
chr3,98984921,98987342,4,.
chr3,99127929,99129935,4,.
chr3,99246622,99253509,8,.
chr3,99268865,99271644,8,.
chr3,99285775,99288270,2,.
chr3,99438293,99442255,3,.
chr3,99502019,99506543,4,.
chr3,99534406,99538183,2,.
chr3,99541205,99554175,25,.
chr3,99654720,99687324,22,.
chr3,99698765,99701766,2,.
chr3,99755738,99761946,2,.
chr3,99791339,99792674,2,.
chr3,99831983,99837570,3,.
chr3,99894525,99897131,8,.
chr3,99899562,99903820,23,.
chr3,99916131,99950091,25,.
chr3,99954967,99962786,6,.
chr3,99964122,99968349,9,.
chr3,99979848,99984987,11,.
chr3,99999303,100013739,15,.
chr3,100019907,100034405,16,.
chr3,100036765,100050429,26,.
chr3,100063665,100064687,2,.
chr3,100066026,100087845,22,.
chr3,100089753,100101598,21,.
chr3,100102261,100109598,10,.
chr3,100117952,100131618,20,.
chr3,100132412,100140094,23,.
chr3,100148094,100153831,21,.
chr3,100168207,100172652,3,.
chr3,100208378,100212684,23,.
chr3,100225717,100229511,14,.
chr3,100252924,100258169,3,.
chr3,100268659,100272208,2,.
chr3,100383235,100389641,10,.
chr3,100524751,100530668,14,.
chr3,100532511,100538512,6,.
chr3,100650251,100651994,6,.
chr3,100743687,100748588,3,.
chr3,100875091,100883491,3,.
chr3,100927704,100929915,3,.
chr3,100940431,100946100,4,.
chr3,100952934,100959168,8,.
chr3,100964705,100970410,3,.
chr3,100978035,100985816,12,.
chr3,101064382,101067201,4,.
chr3,101154296,101159129,7,.
chr3,101216022,101217950,3,.
chr3,101374676,101383610,21,.
chr3,101577118,101581377,3,.
chr3,101721022,101722835,7,.
chr3,101808590,101810235,2,.
chr3,101812012,101817981,9,.
chr3,101863834,101870289,2,.
chr3,101897640,101903915,2,.
chr3,101936248,101938298,5,.
chr3,101948731,101953053,2,.
chr3,102005936,102007814,7,.
chr3,102122854,102127319,9,.
chr3,102129456,102135621,24,.
chr3,102138377,102145438,20,.
chr3,102160158,102164857,9,.
chr3,102177558,102184447,25,.
chr3,102192314,102196878,10,.
chr3,102205389,102208079,3,.
chr3,102697704,102701373,22,.
chr3,102979089,102981002,7,.
chr3,103785666,103787330,2,.
chr3,104436616,104438965,2,.
chr3,105655260,105663697,3,.
chr3,105703638,105708866,2,.
chr3,105741843,105755437,16,.
chr3,105763180,105855470,26,.
chr3,105859692,105862839,6,.
chr3,105880601,105885706,11,.
chr3,105904242,105908654,24,.
chr3,105928963,105932151,15,.
chr3,105937207,105939669,11,.
chr3,105950631,105951914,3,.
chr3,105962456,105963675,2,.
chr3,105996803,105999527,10,.
chr3,106002038,106007437,20,.
chr3,106024164,106026598,11,.
chr3,106056554,106060652,6,.
chr3,106066809,106071894,14,.
chr3,106205656,106209926,10,.
chr3,106559347,106561837,6,.
chr3,106728034,106729467,3,.
chr3,106744897,106746428,2,.
chr3,106813163,106815297,3,.
chr3,106839318,106843095,2,.
chr3,106844927,106846969,3,.
chr3,106962448,106966911,8,.
chr3,107067928,107069554,4,.
chr3,107122023,107126260,4,.
chr3,107196015,107204367,21,.
chr3,107204473,107213869,26,.
chr3,107215069,107217521,5,.
chr3,107222105,107223342,2,.
chr3,107234815,107239350,9,.
chr3,107254722,107268261,11,.
chr3,107283847,107285578,3,.
chr3,107410804,107412469,4,.
chr3,107602547,107608021,22,.
chr3,107666984,107670965,5,.
chr3,107792695,107797128,5,.
chr3,107927360,107928202,2,.
chr3,107955959,107960250,23,.
chr3,107968939,107971254,5,.
chr3,107977742,107983111,17,.
chr3,107985372,107990335,17,.
chr3,108003426,108009409,11,.
chr3,108129796,108131789,2,.
chr3,108486549,108487633,6,.
chr3,108524644,108525544,2,.
chr3,108545955,108546819,3,.
chr3,108936388,108941845,5,.
chr3,109683932,109686793,15,.
chr3,109804885,109808884,3,.
chr3,110026901,110027983,3,.
chr3,110065998,110071109,8,.
chr3,110413219,110415599,4,.
chr3,111667508,111669501,2,.
chr3,111692553,111696444,7,.
chr3,111714991,111722258,6,.
chr3,111728186,111731214,8,.
chr3,111733524,111744334,18,.
chr3,111759640,111765980,12,.
chr3,111767226,111773688,18,.
chr3,111779534,111791490,12,.
chr3,111799172,111806136,25,.
chr3,111819466,111825881,21,.
chr3,111850708,111854259,14,.
chr3,111901410,111906344,2,.
chr3,111914195,111929825,14,.
chr3,111963049,111975533,14,.
chr3,112009446,112014538,23,.
chr3,112082589,112084309,7,.
chr3,112090117,112094133,18,.
chr3,112115910,112120271,9,.
chr3,112344748,112379549,25,.
chr3,112388011,112393023,17,.
chr3,112471481,112472401,2,.
chr3,112626983,112630423,2,.
chr3,112650566,112656648,11,.
chr3,112742527,112747394,3,.
chr3,112769018,112770695,2,.
chr3,112771894,112783178,16,.
chr3,112809329,112815125,16,.
chr3,113116881,113118865,10,.
chr3,113144913,113154159,12,.
chr3,113156602,113159000,4,.
chr3,113233388,113236090,5,.
chr3,113239483,113251860,17,.
chr3,113651803,113665169,22,.
chr3,113781612,113786257,20,.
chr3,114090518,114094216,13,.
chr3,114119723,114125113,25,.
chr3,114152196,114153927,6,.
chr3,114359965,114369160,22,.
chr3,114399142,114424097,22,.
chr3,114502136,114516912,20,.
chr3,114550733,114592984,24,.
chr3,114605788,114606880,2,.
chr3,114646094,114661955,26,.
chr3,114663966,114672291,23,.
chr3,114689393,114693706,2,.
chr3,114704660,114708042,2,.
chr3,114741237,114750929,25,.
chr3,114752334,114753193,2,.
chr3,114802455,114805086,2,.
chr3,114846201,114852960,4,.
chr3,114862896,114870618,16,.
chr3,114877968,114881180,3,.
chr3,114902040,114904603,3,.
chr3,115039373,115046026,11,.
chr3,115084261,115086313,2,.
chr3,115088635,115096824,8,.
chr3,115237682,115243766,17,.
chr3,115244468,115247732,6,.
chr3,115258726,115259093,2,.
chr3,115278394,115282162,7,.
chr3,115380700,115383452,2,.
chr3,115386239,115391130,22,.
chr3,115399233,115403703,5,.
chr3,115496986,115501502,13,.
chr3,115511657,115526194,25,.
chr3,115548609,115551902,3,.
chr3,115655844,115661896,26,.
chr3,115666105,115668430,4,.
chr3,115782133,115787669,26,.
chr3,116133635,116136401,5,.
chr3,116251005,116257805,5,.
chr3,117034416,117037607,15,.
chr3,118801416,118802929,3,.
chr3,118967573,118973859,13,.
chr3,118983499,118995561,12,.
chr3,119017803,119020711,4,.
chr3,119256297,119259585,8,.
chr3,119274451,119282960,26,.
chr3,119328077,119337210,14,.
chr3,119337316,119365683,21,.
chr3,119376415,119381146,2,.
chr3,119394792,119398980,5,.
chr3,119409558,119424077,20,.
chr3,119509507,119527724,23,.
chr3,119561993,119563144,2,.
chr3,119568831,119573472,25,.
chr3,119584582,119590940,10,.
chr3,119624308,119641107,16,.
chr3,119679619,119681854,2,.
chr3,119700001,119701723,3,.
chr3,119726291,119728950,4,.
chr3,119838274,119842597,4,.
chr3,119905906,119911100,13,.
chr3,119976681,119979862,4,.
chr3,120008654,120015370,4,.
chr3,120102035,120103269,2,.
chr3,120145385,120149562,16,.
chr3,120152805,120154572,6,.
chr3,120176300,120179094,11,.
chr3,120202338,120205257,5,.
chr3,120274352,120275730,3,.
chr3,120301638,120304108,4,.
chr3,120415017,120442364,4,.
chr3,120467883,120472646,17,.
chr3,120475953,120479152,2,.
chr3,120485226,120489634,9,.
chr3,120494351,120500815,8,.
chr3,120506012,120508050,4,.
chr3,120549313,120563801,26,.
chr3,120566109,120571008,15,.
chr3,120614868,120617463,11,.
chr3,120677808,120679911,12,.
chr3,121618098,121632822,13,.
chr3,121646886,121651973,25,.
chr3,121662946,121666160,2,.
chr3,121689756,121701463,9,.
chr3,121704111,121706766,5,.
chr3,121707435,121710664,5,.
chr3,121785778,121788067,6,.
chr3,121959576,121962696,8,.
chr3,121991680,121999893,6,.
chr3,122073761,122075713,2,.
chr3,122245558,122248504,9,.
chr3,122389110,122396636,9,.
chr3,122645049,122648513,7,.
chr3,122799997,122805670,4,.
chr3,122892379,122895171,7,.
chr3,122938063,122966534,24,.
chr3,122994823,122997510,3,.
chr3,123032255,123033976,2,.
chr3,123045326,123055942,17,.
chr3,123071175,123086813,15,.
chr3,123095758,123099867,7,.
chr3,123193245,123195694,6,.
chr3,123270728,123273987,5,.
chr3,123281781,123285988,2,.
chr3,123312078,123316971,5,.
chr3,123319507,123361422,5,.
chr3,123485834,123492912,15,.
chr3,123520640,123524512,8,.
chr3,123651271,123666038,23,.
chr3,123667216,123669725,5,.
chr3,123709741,123714267,7,.
chr3,123719018,123721114,11,.
chr3,123813743,123815276,2,.
chr3,124029746,124037799,26,.
chr3,124068558,124072777,10,.
chr3,124081898,124086455,14,.
chr3,124106595,124109098,3,.
chr3,124112557,124120610,17,.
chr3,124130559,124133875,8,.
chr3,124155099,124159743,12,.
chr3,124202577,124203431,2,.
chr3,124231777,124238255,18,.
chr3,124241215,124254163,26,.
chr3,124259762,124261687,6,.
chr3,124269663,124285404,24,.
chr3,124295346,124299342,8,.
chr3,124393183,124398649,23,.
chr3,124418418,124421148,2,.
chr3,124539388,124542320,15,.
chr3,124556688,124561415,17,.
chr3,124569505,124570508,4,.
chr3,124576365,124578180,3,.
chr3,124590206,124629508,26,.
chr3,124647444,124669547,22,.
chr3,124683743,124687699,3,.
chr3,124698199,124701889,20,.
chr3,124712460,124715514,4,.
chr3,124759564,124767402,15,.
chr3,124783327,124789492,10,.
chr3,124790396,124806417,24,.
chr3,124817422,124820178,4,.
chr3,124842832,124847449,4,.
chr3,124849745,124865667,25,.
chr3,124980741,124990724,16,.
chr3,124992042,124997127,3,.
chr3,125012365,125018493,7,.
chr3,125020565,125035982,18,.
chr3,125059493,125065320,10,.
chr3,125114946,125118115,12,.
chr3,125128511,125133513,6,.
chr3,125136750,125149885,18,.
chr3,125159389,125166490,13,.
chr3,125265262,125268699,2,.
chr3,125309762,125312845,2,.
chr3,125329775,125340735,18,.
chr3,125364492,125370913,5,.
chr3,125511035,125517068,2,.
chr3,125538591,125542331,14,.
chr3,125620721,125627111,24,.
chr3,125632472,125633847,2,.
chr3,125642750,125647553,20,.
chr3,125957777,125959066,2,.
chr3,125987203,125992913,24,.
chr3,126205485,126214818,21,.
chr3,126257981,126262966,23,.
chr3,126277379,126278464,2,.
chr3,126284336,126292591,20,.
chr3,126299228,126303319,22,.
chr3,126337768,126345486,10,.
chr3,126372562,126376228,2,.
chr3,126387853,126391123,24,.
chr3,126444734,126447799,2,.
chr3,126458804,126473559,12,.
chr3,126525714,126531425,16,.
chr3,126620512,126622117,5,.
chr3,126742422,126753506,26,.
chr3,126780636,126783749,5,.
chr3,126809324,126813976,11,.
chr3,126817047,126818860,4,.
chr3,126825046,126830926,21,.
chr3,126835178,126837077,3,.
chr3,126848311,126852744,13,.
chr3,126865578,126867980,4,.
chr3,126869932,126872899,6,.
chr3,126907075,126912767,8,.
chr3,126925221,126928722,13,.
chr3,126931174,126933104,2,.
chr3,126948610,126949507,2,.
chr3,126958449,126963985,20,.
chr3,126981338,126987474,15,.
chr3,126990324,126996454,8,.
chr3,126999074,127004787,18,.
chr3,127133019,127140745,23,.
chr3,127168096,127169144,2,.
chr3,127543619,127550349,24,.
chr3,127606817,127609555,9,.
chr3,127687367,127704529,7,.
chr3,127752872,127778470,10,.
chr3,127907249,127913363,13,.
chr3,127945732,127967614,23,.
chr3,127982207,127991834,14,.
chr3,128069861,128080030,12,.
chr3,128094770,128096029,2,.
chr3,128106084,128109541,8,.
chr3,128110825,128116782,16,.
chr3,128165110,128172205,12,.
chr3,128172591,128178036,9,.
chr3,128193590,128199403,3,.
chr3,128235368,128238478,3,.
chr3,128252402,128254372,6,.
chr3,128271271,128284019,22,.
chr3,128291257,128302315,23,.
chr3,128305943,128315137,21,.
chr3,128357241,128390261,25,.
chr3,128393255,128397325,6,.
chr3,128546676,128558383,25,.
chr3,128567637,128570057,11,.
chr3,128606730,128609429,25,.
chr3,128615624,128626079,14,.
chr3,128628927,128634387,10,.
chr3,128696821,128700018,23,.
chr3,128757276,128772735,13,.
chr3,128774260,128792571,16,.
chr3,128796545,128821831,10,.
chr3,128823048,128825677,3,.
chr3,128844141,128848162,23,.
chr3,128854255,128856836,2,.
chr3,129004025,129028653,23,.
chr3,129050116,129056046,24,.
chr3,129085377,129087735,25,.
chr3,129099967,129102818,2,.
chr3,129115053,129118155,5,.
chr3,129189972,129206222,20,.
chr3,129211332,129212814,8,.
chr3,129221571,129235841,26,.
chr3,129237238,129243309,19,.
chr3,129243993,129247007,22,.
chr3,129255669,129258147,6,.
chr3,129301552,129309298,21,.
chr3,129345796,129354876,21,.
chr3,129377383,129380975,14,.
chr3,129382448,129392623,16,.
chr3,129393316,129402439,26,.
chr3,129412683,129415604,8,.
chr3,129466981,129472175,26,.
chr3,129489229,129492592,19,.
chr3,129499353,129509081,18,.
chr3,129513555,129514942,3,.
chr3,129614175,129629565,4,.
chr3,129660638,129679349,19,.
chr3,129721273,129726374,21,.
chr3,129791478,129796850,20,.
chr3,129818954,129823485,5,.
chr3,129850342,129859961,13,.
chr3,129936491,129937316,3,.
chr3,130255477,130261519,3,.
chr3,130513931,130517980,2,.
chr3,130698746,130702224,10,.
chr3,130707975,130714001,3,.
chr3,130833395,130846511,20,.
chr3,130903710,130907644,7,.
chr3,130913871,130918715,11,.
chr3,130938880,130940649,2,.
chr3,130974450,130977949,2,.
chr3,131070114,131075346,16,.
chr3,131077789,131078817,2,.
chr3,131214964,131218743,12,.
chr3,131339127,131341485,3,.
chr3,131348003,131365708,26,.
chr3,131368231,131373632,2,.
chr3,131383498,131389379,2,.
chr3,131788203,131792120,16,.
chr3,131801010,131807256,16,.
chr3,132230729,132233854,6,.
chr3,132434494,132437693,4,.
chr3,132444132,132452704,21,.
chr3,132548953,132558362,13,.
chr3,132573244,132574703,2,.
chr3,132635040,132635851,3,.
chr3,132687603,132691867,9,.
chr3,132771371,132774319,3,.
chr3,132783081,132790815,13,.
chr3,132911012,132913222,5,.
chr3,133294306,133299237,3,.
chr3,133459277,133460121,2,.
chr3,133466878,133470671,4,.
chr3,133473356,133475705,3,.
chr3,133505854,133507965,3,.
chr3,133534633,133537145,9,.
chr3,133546574,133550243,16,.
chr3,133568323,133571445,3,.
chr3,133820039,133822695,3,.
chr3,133825685,133831811,15,.
chr3,133841727,133846320,13,.
chr3,133867298,133869814,9,.
chr3,133962663,133971431,9,.
chr3,133975523,133982337,12,.
chr3,133983034,133995224,14,.
chr3,134064054,134068841,15,.
chr3,134070700,134072062,9,.
chr3,134072875,134075429,5,.
chr3,134143220,134148020,6,.
chr3,134209210,134213541,6,.
chr3,134231208,134245770,12,.
chr3,134289659,134294437,19,.
chr3,134299336,134301882,2,.
chr3,134308131,134309875,2,.
chr3,134324201,134341651,21,.
chr3,134377495,134379015,5,.
chr3,134380329,134381794,2,.
chr3,134391518,134397214,7,.
chr3,134406347,134407922,3,.
chr3,134443974,134448274,9,.
chr3,134458725,134469073,23,yes
chr3,134474896,134481847,12,.
chr3,134516454,134518412,3,.
chr3,134536499,134537850,2,.
chr3,134640894,134647965,10,.
chr3,134658454,134661408,20,.
chr3,134661973,134667640,10,.
chr3,134675832,134682687,22,.
chr3,134692496,134700433,20,.
chr3,134709002,134710774,2,.
chr3,134751727,134755861,19,.
chr3,135144093,135150801,16,.
chr3,135393641,135394758,4,.
chr3,135929231,135931326,3,.
chr3,135969607,135974881,5,.
chr3,136042696,136043131,2,.
chr3,136064447,136085269,25,.
chr3,136138001,136153387,6,.
chr3,136167908,136175004,2,.
chr3,136342355,136346035,4,.
chr3,136785341,136788666,19,.
chr3,136800419,136804380,16,.
chr3,136833925,136840722,8,.
chr3,136850169,136854249,5,.
chr3,136890641,136902734,10,.
chr3,136915068,136926743,14,.
chr3,136991881,136998325,26,.
chr3,137011385,137015512,14,.
chr3,137162017,137165723,13,.
chr3,137190770,137192638,4,.
chr3,137258521,137260543,2,.
chr3,137263434,137265084,3,.
chr3,138056777,138063002,5,.
chr3,138123570,138126553,5,.
chr3,138195898,138198141,3,.
chr3,138353887,138393365,3,.
chr3,138491376,138498054,22,.
chr3,138772824,138780117,25,.
chr3,138795526,138804791,22,.
chr3,138817717,138818816,3,.
chr3,138844132,138847100,15,.
chr3,138853003,138855369,5,.
chr3,138860317,138864652,25,.
chr3,138873912,138877914,21,.
chr3,138896961,138902057,18,.
chr3,138914167,138917181,26,.
chr3,139226494,139228091,3,.
chr3,139265206,139269620,8,.
chr3,139286608,139289322,5,.
chr3,139298995,139304583,19,.
chr3,139392932,139395268,2,.
chr3,139419862,139423542,3,.
chr3,139433919,139435436,3,.
chr3,139531926,139537233,3,.
chr3,139763423,139765527,2,.
