"","clusters"
"GOBP_INTRACELLULAR_MONOATOMIC_ANION_HOMEOSTASIS",1459
"GOBP_INTRACELLULAR_MRNA_LOCALIZATION",1460
"GOBP_INTRACELLULAR_NITROGEN_HOMEOSTASIS",1461
"GOBP_INTRACELLULAR_OXYGEN_HOMEOSTASIS",1462
"GOBP_INTRACELLULAR_PHOSPHATE_ION_HOMEOSTASIS",1463
"GOBP_INTRACELLULAR_PH_ELEVATION",1464
"GOBP_INTRACELLULAR_PH_REDUCTION",1465
"GOBP_INTRACELLULAR_POTASSIUM_ION_HOMEOSTASIS",1094
"GOBP_INTRACELLULAR_PROTEIN_TRANSMEMBRANE_TRANSPORT",1466
"GOBP_INTRACELLULAR_PROTEIN_TRANSPORT",1079
"GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY",1467
"GOBP_INTRACELLULAR_SODIUM_ION_HOMEOSTASIS",1094
"GOBP_INTRACELLULAR_SPHINGOLIPID_HOMEOSTASIS",1468
"GOBP_INTRACELLULAR_STEROL_TRANSPORT",1458
"GOBP_INTRACELLULAR_TRANSPORT",1079
"GOBP_INTRACELLULAR_TRANSPORT_OF_VIRUS",1469
"GOBP_INTRACELLULAR_TRIGLYCERIDE_HOMEOSTASIS",1470
"GOBP_INTRACELLULAR_WATER_HOMEOSTASIS",1471
"GOBP_INTRACELLULAR_ZINC_ION_HOMEOSTASIS",1472
"GOBP_INTRACILIARY_ANTEROGRADE_TRANSPORT",1473
"GOBP_INTRACILIARY_RETROGRADE_TRANSPORT",1474
"GOBP_INTRACILIARY_TRANSPORT",1473
"GOBP_INTRACILIARY_TRANSPORT_INVOLVED_IN_CILIUM_ASSEMBLY",1475
"GOBP_INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT",1476
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",205
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR",1477
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE",1477
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR",1477
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",1478
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_HYDROGEN_PEROXIDE",1479
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_HYPOXIA",1480
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OSMOTIC_STRESS",1481
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OXIDATIVE_STRESS",1482
"GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT",970
"GOBP_IODIDE_TRANSPORT",1483
"GOBP_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY",1255
"GOBP_ION_CHANNEL_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",1484
"GOBP_IP_10_PRODUCTION",1485
"GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE",1486
"GOBP_IRES_DEPENDENT_VIRAL_TRANSLATIONAL_INITIATION",1487
"GOBP_IRIS_MORPHOGENESIS",1488
"GOBP_IRON_COORDINATION_ENTITY_TRANSPORT",1321
"GOBP_IRON_IMPORT_INTO_CELL",1489
"GOBP_IRON_ION_IMPORT_ACROSS_PLASMA_MEMBRANE",1489
"GOBP_IRON_ION_TRANSMEMBRANE_TRANSPORT",1490
"GOBP_IRON_ION_TRANSPORT",1490
"GOBP_IRON_SULFUR_CLUSTER_ASSEMBLY",1491
"GOBP_ISG15_PROTEIN_CONJUGATION",1492
"GOBP_ISOCITRATE_METABOLIC_PROCESS",1493
"GOBP_ISOLEUCINE_METABOLIC_PROCESS",320
"GOBP_ISOLEUCINE_TRANSPORT",322
"GOBP_ISOPENTENYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS",1494
"GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS",895
"GOBP_ISOPRENOID_CATABOLIC_PROCESS",1495
"GOBP_ISOPRENOID_METABOLIC_PROCESS",1496
"GOBP_ISOPRENOID_TRANSPORT",1497
"GOBP_ISOTYPE_SWITCHING_TO_IGA_ISOTYPES",1498
"GOBP_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES",1499
"GOBP_I_KAPPAB_PHOSPHORYLATION",1500
"GOBP_JNK_CASCADE",1501
"GOBP_KERATAN_SULFATE_METABOLIC_PROCESS",1502
"GOBP_KERATINIZATION",1503
"GOBP_KERATINOCYTE_APOPTOTIC_PROCESS",1504
"GOBP_KERATINOCYTE_DEVELOPMENT",1505
"GOBP_KERATINOCYTE_DIFFERENTIATION",1023
"GOBP_KERATINOCYTE_MIGRATION",1506
"GOBP_KERATINOCYTE_PROLIFERATION",1507
"GOBP_KETONE_BIOSYNTHETIC_PROCESS",1508
"GOBP_KETONE_BODY_BIOSYNTHETIC_PROCESS",1509
"GOBP_KETONE_BODY_METABOLIC_PROCESS",1509
"GOBP_KETONE_CATABOLIC_PROCESS",1510
"GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT",1511
"GOBP_KIDNEY_MESENCHYME_DEVELOPMENT",1512
"GOBP_KIDNEY_MORPHOGENESIS",1511
"GOBP_KILLING_BY_HOST_OF_SYMBIONT_CELLS",1513
"GOBP_KINETOCHORE_ASSEMBLY",637
"GOBP_KINETOCHORE_ORGANIZATION",637
"GOBP_KYNURENINE_METABOLIC_PROCESS",1514
"GOBP_LABYRINTHINE_LAYER_BLOOD_VESSEL_DEVELOPMENT",1515
"GOBP_LABYRINTHINE_LAYER_DEVELOPMENT",1515
"GOBP_LABYRINTHINE_LAYER_MORPHOGENESIS",324
"GOBP_LACRIMAL_GLAND_DEVELOPMENT",1516
"GOBP_LACTATE_METABOLIC_PROCESS",1517
"GOBP_LACTATE_TRANSMEMBRANE_TRANSPORT",1518
"GOBP_LACTATION",1519
"GOBP_LAMELLIPODIUM_ASSEMBLY",1520
"GOBP_LAMELLIPODIUM_MORPHOGENESIS",1521
"GOBP_LAMELLIPODIUM_ORGANIZATION",1520
"GOBP_LATERAL_MESODERM_DEVELOPMENT",862
"GOBP_LATERAL_SPROUTING_FROM_AN_EPITHELIUM",1522
"GOBP_LATERAL_VENTRICLE_DEVELOPMENT",1523
"GOBP_LATE_ENDOSOME_TO_GOLGI_TRANSPORT",1524
"GOBP_LATE_ENDOSOME_TO_LYSOSOME_TRANSPORT",997
"GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT",1525
"GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY",1525
"GOBP_LATE_NUCLEOPHAGY",1526
"GOBP_LAYER_FORMATION_IN_CEREBRAL_CORTEX",1527
"GOBP_LEARNED_VOCALIZATION_BEHAVIOR_OR_VOCAL_LEARNING",1528
"GOBP_LEARNING",224
"GOBP_LEFT_RIGHT_AXIS_SPECIFICATION",1529
"GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE",1530
"GOBP_LENS_FIBER_CELL_DEVELOPMENT",1531
"GOBP_LENS_FIBER_CELL_DIFFERENTIATION",1530
"GOBP_LENS_FIBER_CELL_MORPHOGENESIS",1531
"GOBP_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE",1532
"GOBP_LEPTIN_MEDIATED_SIGNALING_PATHWAY",521
"GOBP_LEUCINE_CATABOLIC_PROCESS",1533
"GOBP_LEUCINE_IMPORT_ACROSS_PLASMA_MEMBRANE",322
"GOBP_LEUCINE_METABOLIC_PROCESS",1533
"GOBP_LEUCINE_TRANSPORT",322
"GOBP_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE",1234
"GOBP_LEUKOCYTE_ADHESION_TO_ARTERIAL_ENDOTHELIAL_CELL",1534
"GOBP_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL",1535
"GOBP_LEUKOCYTE_AGGREGATION",1536
"GOBP_LEUKOCYTE_APOPTOTIC_PROCESS",1537
"GOBP_LEUKOCYTE_CELL_CELL_ADHESION",1538
"GOBP_LEUKOCYTE_CHEMOTAXIS",580
"GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE",1539
"GOBP_LEUKOCYTE_DEGRANULATION",1540
"GOBP_LEUKOCYTE_DIFFERENTIATION",569
"GOBP_LEUKOCYTE_HOMEOSTASIS",1541
"GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY",604
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY",58
"GOBP_LEUKOCYTE_MIGRATION",580
"GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE",1539
"GOBP_LEUKOCYTE_PROLIFERATION",1542
"GOBP_LEUKOCYTE_TETHERING_OR_ROLLING",1543
"GOBP_LEUKOTRIENE_B4_METABOLIC_PROCESS",1373
"GOBP_LEUKOTRIENE_BIOSYNTHETIC_PROCESS",1544
"GOBP_LEUKOTRIENE_CATABOLIC_PROCESS",1373
"GOBP_LEUKOTRIENE_D4_BIOSYNTHETIC_PROCESS",1261
"GOBP_LEUKOTRIENE_D4_METABOLIC_PROCESS",1261
"GOBP_LEUKOTRIENE_METABOLIC_PROCESS",1544
"GOBP_LEUKOTRIENE_SIGNALING_PATHWAY",1545
"GOBP_LEUKOTRIENE_TRANSPORT",1546
"GOBP_LEYDIG_CELL_DIFFERENTIATION",1547
"GOBP_LIGAND_GATED_ION_CHANNEL_SIGNALING_PATHWAY",1255
"GOBP_LIGHT_ADAPTION",1548
"GOBP_LIMBIC_SYSTEM_DEVELOPMENT",1344
"GOBP_LIMB_BUD_FORMATION",1549
"GOBP_LIMB_JOINT_MORPHOGENESIS",1550
"GOBP_LINOLEIC_ACID_METABOLIC_PROCESS",1551
"GOBP_LIPID_BIOSYNTHETIC_PROCESS",453
"GOBP_LIPID_CATABOLIC_PROCESS",452
"GOBP_LIPID_DIGESTION",1448
"GOBP_LIPID_DROPLET_DISASSEMBLY",1552
"GOBP_LIPID_DROPLET_FORMATION",1553
"GOBP_LIPID_DROPLET_ORGANIZATION",1553
"GOBP_LIPID_EXPORT_FROM_CELL",765
"GOBP_LIPID_GLYCOSYLATION",1554
"GOBP_LIPID_HOMEOSTASIS",1555
"GOBP_LIPID_HYDROXYLATION",1556
"GOBP_LIPID_IMPORT_INTO_CELL",1141
"GOBP_LIPID_LOCALIZATION",1557
"GOBP_LIPID_METABOLIC_PROCESS",453
"GOBP_LIPID_MODIFICATION",1131
"GOBP_LIPID_OXIDATION",1131
"GOBP_LIPID_PHOSPHORYLATION",876
"GOBP_LIPID_STORAGE",1558
"GOBP_LIPID_TRANSPORT_ACROSS_BLOOD_BRAIN_BARRIER",1559
"GOBP_LIPOPHAGY",1560
"GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY",1561
"GOBP_LIPOPROTEIN_BIOSYNTHETIC_PROCESS",1562
"GOBP_LIPOPROTEIN_CATABOLIC_PROCESS",1563
"GOBP_LIPOPROTEIN_LOCALIZATION",1564
"GOBP_LIPOPROTEIN_METABOLIC_PROCESS",1562
"GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS",1270
"GOBP_LIPOXIN_METABOLIC_PROCESS",1332
"GOBP_LIPOXYGENASE_PATHWAY",1332
"GOBP_LIVER_MORPHOGENESIS",1565
"GOBP_LIVER_REGENERATION",164
"GOBP_LNCRNA_MEDIATED_POST_TRANSCRIPTIONAL_GENE_SILENCING",1566
"GOBP_LOBAR_BRONCHUS_DEVELOPMENT",332
"GOBP_LOBAR_BRONCHUS_EPITHELIUM_DEVELOPMENT",332
"GOBP_LOCALIZATION_WITHIN_MEMBRANE",1567
"GOBP_LOCOMOTION",610
"GOBP_LOCOMOTION_INVOLVED_IN_LOCOMOTORY_BEHAVIOR",1568
"GOBP_LOCOMOTORY_BEHAVIOR",83
"GOBP_LOCOMOTORY_EXPLORATION_BEHAVIOR",1111
"GOBP_LOCOMOTOR_RHYTHM",1569
"GOBP_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS",1570
"GOBP_LONG_CHAIN_FATTY_ACID_CATABOLIC_PROCESS",1571
"GOBP_LONG_CHAIN_FATTY_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE",1141
"GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",207
"GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT",1142
"GOBP_LONG_CHAIN_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS",1143
"GOBP_LONG_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS",1143
"GOBP_LONG_TERM_MEMORY",1572
"GOBP_LONG_TERM_SYNAPTIC_DEPRESSION",1573
"GOBP_LONG_TERM_SYNAPTIC_POTENTIATION",1574
"GOBP_LOOP_OF_HENLE_DEVELOPMENT",1575
"GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",1576
"GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",1577
"GOBP_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_PARTICLE_METABOLIC_PROCESS",1578
"GOBP_LUNG_ALVEOLUS_DEVELOPMENT",1579
"GOBP_LUNG_ASSOCIATED_MESENCHYME_DEVELOPMENT",1580
"GOBP_LUNG_CELL_DIFFERENTIATION",1581
"GOBP_LUNG_EPITHELIUM_DEVELOPMENT",1581
"GOBP_LUNG_GROWTH",1582
"GOBP_LUNG_LOBE_DEVELOPMENT",1583
"GOBP_LUNG_MORPHOGENESIS",1042
"GOBP_LUNG_SACCULE_DEVELOPMENT",1584
"GOBP_LUNG_SECRETORY_CELL_DIFFERENTIATION",1585
"GOBP_LUNG_VASCULATURE_DEVELOPMENT",1586
"GOBP_LUTEINIZATION",1587
"GOBP_LUTEINIZING_HORMONE_SECRETION",1588
"GOBP_LUTEOLYSIS",1589
"GOBP_LYMPHANGIOGENESIS",1590
"GOBP_LYMPHATIC_ENDOTHELIAL_CELL_DIFFERENTIATION",1591
"GOBP_LYMPHOCYTE_ACTIVATION",569
"GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",570
"GOBP_LYMPHOCYTE_AGGREGATION",1536
"GOBP_LYMPHOCYTE_ANERGY",1592
"GOBP_LYMPHOCYTE_APOPTOTIC_PROCESS",1537
"GOBP_LYMPHOCYTE_CHEMOTAXIS",1020
"GOBP_LYMPHOCYTE_COSTIMULATION",1593
"GOBP_LYMPHOCYTE_HOMEOSTASIS",1541
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",58
"GOBP_LYMPHOCYTE_MIGRATION",1594
"GOBP_LYMPHOCYTE_MIGRATION_INTO_LYMPHOID_ORGANS",1595
"GOBP_LYMPHOID_PROGENITOR_CELL_DIFFERENTIATION",1596
"GOBP_LYMPH_NODE_DEVELOPMENT",1597
"GOBP_LYMPH_VESSEL_DEVELOPMENT",1590
"GOBP_LYMPH_VESSEL_MORPHOGENESIS",1590
"GOBP_LYSINE_METABOLIC_PROCESS",220
"GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION",1465
"GOBP_LYSOSOMAL_MEMBRANE_ORGANIZATION",997
"GOBP_LYSOSOMAL_MICROAUTOPHAGY",1526
"GOBP_LYSOSOMAL_PROTEIN_CATABOLIC_PROCESS",1598
"GOBP_LYSOSOMAL_TRANSPORT",996
"GOBP_LYTIC_VACUOLE_ORGANIZATION",1599
"GOBP_L_ALANINE_TRANSMEMBRANE_TRANSPORT",1600
"GOBP_L_ALANINE_TRANSPORT",91
"GOBP_L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT",130
"GOBP_L_AMINO_ACID_TRANSPORT",130
"GOBP_L_ARGININE_IMPORT_ACROSS_PLASMA_MEMBRANE",1601
"GOBP_L_ARGININE_TRANSMEMBRANE_TRANSPORT",275
"GOBP_L_ASCORBIC_ACID_METABOLIC_PROCESS",1602
"GOBP_L_ASPARTATE_IMPORT_ACROSS_PLASMA_MEMBRANE",1603
"GOBP_L_ASPARTATE_TRANSMEMBRANE_TRANSPORT",1603
"GOBP_L_CYSTEINE_METABOLIC_PROCESS",784
"GOBP_L_CYSTINE_TRANSPORT",1604
"GOBP_L_GLUTAMATE_IMPORT",1605
"GOBP_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE",1605
"GOBP_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT",1605
"GOBP_L_GLUTAMINE_IMPORT_ACROSS_PLASMA_MEMBRANE",1260
"GOBP_L_HISTIDINE_TRANSMEMBRANE_TRANSPORT",1606
"GOBP_L_KYNURENINE_METABOLIC_PROCESS",1514
"GOBP_L_LYSINE_TRANSPORT",275
"GOBP_L_METHIONINE_SALVAGE_FROM_METHYLTHIOADENOSINE",132
"GOBP_L_PHENYLALANINE_METABOLIC_PROCESS",1607
"GOBP_L_PROLINE_BIOSYNTHETIC_PROCESS",1608
"GOBP_L_SERINE_BIOSYNTHETIC_PROCESS",1609
"GOBP_L_SERINE_CATABOLIC_PROCESS",1610
"GOBP_L_SERINE_METABOLIC_PROCESS",1610
"GOBP_L_SERINE_TRANSPORT",1611
"GOBP_MACROAUTOPHAGY",1612
"GOBP_MACROMOLECULE_CATABOLIC_PROCESS",1613
"GOBP_MACROMOLECULE_DEACYLATION",1348
"GOBP_MACROMOLECULE_DEPALMITOYLATION",1563
"GOBP_MACROMOLECULE_METHYLATION",1614
"GOBP_MACROPHAGE_ACTIVATION",1615
"GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",1616
"GOBP_MACROPHAGE_APOPTOTIC_PROCESS",1617
"GOBP_MACROPHAGE_CHEMOTAXIS",1618
"GOBP_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION",1291
"GOBP_MACROPHAGE_COLONY_STIMULATING_FACTOR_SIGNALING_PATHWAY",529
"GOBP_MACROPHAGE_CYTOKINE_PRODUCTION",1619
"GOBP_MACROPHAGE_DIFFERENTIATION",1620
"GOBP_MACROPHAGE_FUSION",1621
"GOBP_MACROPHAGE_INFLAMMATORY_PROTEIN_1_ALPHA_PRODUCTION",1622
"GOBP_MACROPHAGE_MIGRATION",1618
"GOBP_MACROPHAGE_PROLIFERATION",1623
"GOBP_MACROPINOCYTOSIS",1624
"GOBP_MAGNESIUM_ION_HOMEOSTASIS",1625
"GOBP_MAGNESIUM_ION_TRANSPORT",1626
"GOBP_MAINTENANCE_OF_ANIMAL_ORGAN_IDENTITY",1627
"GOBP_MAINTENANCE_OF_APICAL_BASAL_CELL_POLARITY",1628
"GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER",1629
"GOBP_MAINTENANCE_OF_CELL_NUMBER",1630
"GOBP_MAINTENANCE_OF_CELL_POLARITY",1628
"GOBP_MAINTENANCE_OF_CENTROSOME_LOCATION",1631
"GOBP_MAINTENANCE_OF_DNA_REPEAT_ELEMENTS",1632
"GOBP_MAINTENANCE_OF_GASTROINTESTINAL_EPITHELIUM",1040
"GOBP_MAINTENANCE_OF_LENS_TRANSPARENCY",1633
"GOBP_MAINTENANCE_OF_LOCATION",362
"GOBP_MAINTENANCE_OF_LOCATION_IN_CELL",362
"GOBP_MAINTENANCE_OF_ORGANELLE_LOCATION",1631
"GOBP_MAINTENANCE_OF_POSTSYNAPTIC_SPECIALIZATION_STRUCTURE",1634
"GOBP_MAINTENANCE_OF_PRESYNAPTIC_ACTIVE_ZONE_STRUCTURE",1635
"GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ENDOPLASMIC_RETICULUM",1636
"GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE",1637
"GOBP_MAINTENANCE_OF_PROTEIN_LOCATION",1638
"GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_CELL",1638
"GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_EXTRACELLULAR_REGION",1120
"GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_MITOCHONDRION",1639
"GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_NUCLEUS",1637
"GOBP_MAINTENANCE_OF_SISTER_CHROMATID_COHESION",1640
"GOBP_MAINTENANCE_OF_SYNAPSE_STRUCTURE",442
"GOBP_MALATE_METABOLIC_PROCESS",1641
"GOBP_MALE_GAMETE_GENERATION",867
"GOBP_MALE_GENITALIA_DEVELOPMENT",1223
"GOBP_MALE_MATING_BEHAVIOR",1642
"GOBP_MALE_MEIOSIS_I",1643
"GOBP_MALE_MEIOTIC_NUCLEAR_DIVISION",1643
"GOBP_MALE_SEX_DETERMINATION",1644
"GOBP_MALE_SEX_DIFFERENTIATION",869
"GOBP_MALONYL_COA_METABOLIC_PROCESS",1144
"GOBP_MAMMALIAN_OOGENESIS_STAGE",189
"GOBP_MAMMARY_GLAND_ALVEOLUS_DEVELOPMENT",1645
"GOBP_MAMMARY_GLAND_BRANCHING_INVOLVED_IN_PREGNANCY",1646
"GOBP_MAMMARY_GLAND_DEVELOPMENT",1647
"GOBP_MAMMARY_GLAND_DUCT_MORPHOGENESIS",325
"GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION",1648
"GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION",1649
"GOBP_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT",1647
"GOBP_MAMMARY_GLAND_FORMATION",1650
"GOBP_MAMMARY_GLAND_INVOLUTION",1651
"GOBP_MAMMARY_GLAND_MORPHOGENESIS",325
"GOBP_MANCHETTE_ASSEMBLY",1652
"GOBP_MANGANESE_ION_TRANSPORT",349
"GOBP_MANNOSE_METABOLIC_PROCESS",1653
"GOBP_MANNOSYLATION",1654
"GOBP_MAPK_CASCADE",1655
"GOBP_MARGINAL_ZONE_B_CELL_DIFFERENTIATION",1656
"GOBP_MAST_CELL_ACTIVATION",1540
"GOBP_MAST_CELL_CHEMOTAXIS",1657
"GOBP_MAST_CELL_CYTOKINE_PRODUCTION",1658
"GOBP_MAST_CELL_DIFFERENTIATION",1659
"GOBP_MAST_CELL_MEDIATED_IMMUNITY",1540
"GOBP_MAST_CELL_MIGRATION",1657
"GOBP_MAST_CELL_PROLIFERATION",1660
"GOBP_MATERNAL_PLACENTA_DEVELOPMENT",810
"GOBP_MATERNAL_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY",810
"GOBP_MATERNAL_PROCESS_INVOLVED_IN_PARTURITION",1661
"GOBP_MATING_BEHAVIOR",1662
"GOBP_MATURATION_OF_5_8S_RRNA",1663
"GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",1663
"GOBP_MATURATION_OF_LSU_RRNA",1664
"GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",1664
"GOBP_MATURATION_OF_SSU_RRNA",1665
"GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",1665
"GOBP_MATURE_B_CELL_DIFFERENTIATION",1666
"GOBP_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE",1666
"GOBP_MATURE_CONVENTIONAL_DENDRITIC_CELL_DIFFERENTIATION",1667
"GOBP_MDA_5_SIGNALING_PATHWAY",1668
"GOBP_MECHANORECEPTOR_DIFFERENTIATION",1307
"GOBP_MECHANOSENSORY_BEHAVIOR",1528
"GOBP_MEDIUM_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS",1669
"GOBP_MEDIUM_CHAIN_FATTY_ACID_CATABOLIC_PROCESS",1669
"GOBP_MEDIUM_CHAIN_FATTY_ACID_METABOLIC_PROCESS",1669
"GOBP_MEDIUM_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS",1144
"GOBP_MEGAKARYOCYTE_DEVELOPMENT",1670
"GOBP_MEGAKARYOCYTE_DIFFERENTIATION",1671
"GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS",1672
"GOBP_MEIOTIC_ATTACHMENT_OF_TELOMERE_TO_NUCLEAR_ENVELOPE",690
"GOBP_MEIOTIC_CELL_CYCLE",1672
"GOBP_MEIOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING",1673
"GOBP_MEIOTIC_CELL_CYCLE_PHASE_TRANSITION",1202
"GOBP_MEIOTIC_CELL_CYCLE_PROCESS",1672
"GOBP_MEIOTIC_CELL_CYCLE_PROCESS_INVOLVED_IN_OOCYTE_MATURATION",1674
"GOBP_MEIOTIC_CHROMOSOME_CONDENSATION",1675
"GOBP_MEIOTIC_CHROMOSOME_SEGREGATION",695
"GOBP_MEIOTIC_CHROMOSOME_SEPARATION",1676
"GOBP_MEIOTIC_CYTOKINESIS",1677
"GOBP_MEIOTIC_DNA_DOUBLE_STRAND_BREAK_FORMATION",1678
"GOBP_MEIOTIC_SISTER_CHROMATID_COHESION",1679
"GOBP_MEIOTIC_SPINDLE_ASSEMBLY",1680
"GOBP_MEIOTIC_SPINDLE_ORGANIZATION",1680
"GOBP_MEIOTIC_TELOMERE_CLUSTERING",690
"GOBP_MELANIN_METABOLIC_PROCESS",1681
"GOBP_MELANOCYTE_DIFFERENTIATION",866
"GOBP_MELANOCYTE_PROLIFERATION",1682
"GOBP_MELANOSOME_ASSEMBLY",1683
"GOBP_MEMBRANE_BIOGENESIS",1684
"GOBP_MEMBRANE_DEPOLARIZATION",1685
"GOBP_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL",1686
"GOBP_MEMBRANE_DEPOLARIZATION_DURING_AV_NODE_CELL_ACTION_POTENTIAL",254
"GOBP_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL",1686
"GOBP_MEMBRANE_DEPOLARIZATION_DURING_SA_NODE_CELL_ACTION_POTENTIAL",1687
"GOBP_MEMBRANE_DISASSEMBLY",1688
"GOBP_MEMBRANE_DOCKING",1108
"GOBP_MEMBRANE_FISSION",1525
"GOBP_MEMBRANE_FUSION",1689
"GOBP_MEMBRANE_FUSION_INVOLVED_IN_VIRAL_ENTRY_INTO_HOST_CELL",1690
"GOBP_MEMBRANE_HYPERPOLARIZATION",1691
"GOBP_MEMBRANE_INVAGINATION",1692
"GOBP_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS",642
"GOBP_MEMBRANE_LIPID_CATABOLIC_PROCESS",643
"GOBP_MEMBRANE_LIPID_METABOLIC_PROCESS",642
"GOBP_MEMBRANE_ORGANIZATION",982
"GOBP_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS",1693
"GOBP_MEMBRANE_PROTEIN_INTRACELLULAR_DOMAIN_PROTEOLYSIS",1694
"GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS",1693
"GOBP_MEMBRANE_RAFT_ASSEMBLY",426
"GOBP_MEMBRANE_RAFT_LOCALIZATION",1695
"GOBP_MEMBRANE_RAFT_ORGANIZATION",1696
"GOBP_MEMBRANE_REPOLARIZATION",405
